filename,plate_content,is_correct_syntax
4741816,000047 418 16 ,TRUE
12341316,Gnacg ,FALSE
15271216,annis? 712 16. ,FALSE
39231816,600392 318 16 ,TRUE
193811816,001938 118 16 ,TRUE
26149916,,FALSE
27211116,,FALSE
280811716,00280 117 16 ,TRUE
378420916,003784 20916 ,FALSE
396911816,003969 118 16 ,TRUE
41511618,60415 116 18 ,TRUE
440611716,7004408 W7 sy ,FALSE
487411416,004874 114.16 ,FALSE
00487411416_1,aT 16 ,FALSE
491031816,004910 318 16 ,TRUE
492631416,004926 314 16 ,TRUE
49510503,00455 - 105 - 631 ,FALSE
501430216,——e ae Z ,FALSE
513130116,005131 301 16 ,TRUE
519120916,+ * a 20! oy ,FALSE
523611416,Se 1005236 114-16 ,FALSE
537320916,005373 209 16 ,TRUE
54230125,60542:301 251) ,FALSE
543211816,105432 11 160m ,FALSE
543631516,005436 31516 ,FALSE
544011916,005440 119 16 | ,FALSE
549611616,(005496 116 16 ,FALSE
65211835,| 00652 118 35 ,FALSE
71340516,£00713-405 16 ,FALSE
73411018,00734 110 18% ,FALSE
756431516,007564 31516 ,FALSE
802611516,008026 115 16 ,TRUE
861311716,(008613117 16 ,FALSE
87511216,00875 112 16 ,TRUE
883731416,008837 314 16 ,TRUE
93110307,93110307,FALSE
96140516,,FALSE
982411616,+ 009824 116 16 ,FALSE
1015731516,010157315 16 ,FALSE
1051011516,1010510 115 16) ,FALSE
122811418,104228:114-18 | ,FALSE
1234911516,1012349 115 16 ,FALSE
1256311416,012563 114 16 ,TRUE
1270211316,1270211316,FALSE
137431518,"T1374 315 18), ",FALSE
148511018,01485 110 18 ,TRUE
159730616,o 01597 306 16) ,FALSE
165340416,,FALSE
1818719516,,FALSE
186719725,,FALSE
2048811416,020488 114 16 ,TRUE
2075731416,020757314 16 ,FALSE
225211116,,FALSE
2387931116,B23 7331118 ,FALSE
2563519016,2563519016,FALSE
310830516,Oe I ajioe 0s 16) ,FALSE
341030016,—_— 00 16 ,FALSE
3620411516,1036204 115 16} ,FALSE
3678311316,3678311316,FALSE
3902011616,(39020 116 Toe ,FALSE
4133011416,041330 114 16 ,TRUE
4286310316,042863 103 16 ,TRUE
4312911616,043129 116 16 ,TRUE
4385210016,a on 043852 100 6* ,FALSE
4438111616,a ,FALSE
448719116,04487 19116 ,FALSE
454011018,04540 110 18 ,TRUE
454310425,(04543 104 25] ,FALSE
454610609,F04546 106.0983 ,FALSE
458019610,Ima ,FALSE
0458019610_1,,FALSE
458619928,rcs06 199 28. ,FALSE
459110218,104591 102 181 ,FALSE
462431116,04624 311 16 ,TRUE
463011543,,FALSE
463110818,I (14631 108 18 ,FALSE
465211101,\oasse wi Of] ,FALSE
0465211101_1,‘04652 - 111 Of ,FALSE
465811116,> ,FALSE
467419907,04674 199 07 ,TRUE
467819821,Bl 4678.98] 21] ,FALSE
468110825,et 75 ,FALSE
469031331,,FALSE
471310118,laa ,FALSE
0471310118_1,J04713 101 189) ,FALSE
472410005,(04724 100 05) ,FALSE
473810543,— igs ,FALSE
0473810543_1,04738105 43) ,FALSE
473910718,na39-107-18 ,FALSE
475410624,,FALSE
478511431,04785 14 _3t ,FALSE
0478511431_1,00785 146 31) ,FALSE
478619043,LOUTRG 190 43) ,FALSE
4800311816,048003 118 16 ,TRUE
480110143,04801 101 43°} ,FALSE
480410443,Pongo. 104 43 ,FALSE
480611018,rl 7 7460613018.) ,FALSE
0480611018_1,SE ,FALSE
481311101,EM ,FALSE
481631243,04816 312 43 ,TRUE
482339821,ee wal yom ,FALSE
484011835,04840 118359 ,FALSE
488431006,en ,FALSE
488511401,(04885 114 a7 ,FALSE
488711522,,FALSE
0488711522_1,"(04887 15 22, ",FALSE
490211118,(049025111 18) ,FALSE
491811431,04918 114 31) -. ,FALSE
494611709,USL8 117 09 ,FALSE
497219010,04972_190 10 ,FALSE
500119821,95001-198:21 eo ,FALSE
0500119821_1,(ont 198-21) ,FALSE
504731123,,FALSE
506618643,O5066 186 43 ,FALSE
508411524,,FALSE
511611418,Fosi1s 114 18) ,FALSE
512310718,05123 107 18 ,TRUE
0512310718_1,,FALSE
0512310718_2,107,FALSE
519290048,", Rat: a ~~ ",FALSE
520711018,(05207 - 110-18 ,FALSE
523011018,= ,FALSE
0523011018_1,05230 110 188) ,FALSE
527011019,05270 110.19 ,FALSE
528420747,52842074718,FALSE
529419306,05294193 06 ,FALSE
529511635,52,FALSE
529611116,_ 796 It y A ,FALSE
0529611116_1,05296 111 16 2 ,FALSE
529611243,105296 112 43 ,TRUE
533111635,05331116 35° RENAULT fe ,FALSE
533890048,[053389 - 00 - 48 | ,FALSE
0533890048_1,,FALSE
536530109,05365 361 09 ,TRUE
538910243,[05389 102 43} ,FALSE
541311418,05413:114 18 | ,FALSE
544719842,4 05447 198 42 ,FALSE
545231236,,FALSE
546210918,—S ee 05462109188 ,FALSE
551111536,N055115115-360) ,FALSE
551118905,05511189 05 ,FALSE
5513611616,055136 116 16 ,TRUE
551639409,105516 394 09 ,TRUE
552710918,05527 169 185 ,FALSE
0552710918_1,,FALSE
0552710918_2,ay ,FALSE
554618543,{05546 18: 66 105 £31] ,FALSE
554810319,405548 103 13 ,TRUE
555310443,,FALSE
0555310443_1,,FALSE
555519409,—————— 7 5595-194 034 ,FALSE
0555519409_1,}-05555:194 09] ,FALSE
561311308,,FALSE
562110929,105621 109 291 ,FALSE
563410225,,FALSE
566119409,05661 194 69 ,TRUE
566431043,,FALSE
567811825,=r 479-118-250 \UI0fo ,FALSE
568011521,,FALSE
570010548,,FALSE
571819843,05718 198 43° ,FALSE
572910740,(05729.307.408) ,FALSE
0572910740_1,,FALSE
573631034,05736-310-96 ,FALSE
0573631034_1,(05736-310-34| ,FALSE
575010343,05750 103 43 ,TRUE
577231016,BIUS77Z310 16] ,FALSE
577419835,"(05774 198 35, ",FALSE
0577419835_1,,FALSE
578910740,05789 107401) ,FALSE
579310916,05793 109 16 ,TRUE
579710605,SS 657972106090 ,FALSE
582210343,[05622-10543] ,FALSE
0582210343_1,05822 105 43 ,TRUE
583911323,583911323,FALSE
584110343,- 05841:103.43: ,FALSE
585010406,,FALSE
0585010406_1,BO0S850 104 06 ,FALSE
585110343,05851103 43) ,FALSE
585411301,,FALSE
585570048,058557 00 48 ,FALSE
586710709,——— 05867 107 09 ,FALSE
586911515,,FALSE
5944611516,59446115161,FALSE
5995611316,059956113 16) ,FALSE
619630816,osise 20616) i ,FALSE
6228810616,062288 106 16 ,TRUE
644510416,- 06445 104 16 ,FALSE
705731016,07057 310 16 ,TRUE
7109211716,,FALSE
711530916,07115 309 16 ,TRUE
713900016,071390 00 16 ,FALSE
716411405,07164 114 03 ,TRUE
7187711416,91071877114 16) ,FALSE
738011142,07380 111 42 ,TRUE
7424211816,074242118 16 ,FALSE
748410916,07484 109 16 lb ,FALSE
751710006,07517 100 06) ,FALSE
757311216,(07573 112 16) ,FALSE
771110916,/ 07711 109 16 ,FALSE
782931216,,FALSE
834611216,08346 112 16 ,TRUE
8467510716,{084675 107 16 ,FALSE
8569111516,,FALSE
877810816,08778 i108 16 ,FALSE
881110635,wool 08811 106 35 ,FALSE
9066010816,090660 108 16 ,TRUE
9666910916,096669 109 16 ,TRUE
9686511516,,FALSE
995631034,09956 31034 ,FALSE
10972510816,#09725 108 16 ,FALSE
1113510316,m {11135 103168) ,FALSE
1126918916,11269 189 16 ,TRUE
1130010723,,FALSE
1133211631,,FALSE
11530311316,— F 415303 113 16 ,FALSE
1209211216,B (12092 112'16 ,FALSE
12725211316,( (3275211316) } ,FALSE
1300210916,a BF \(is002 109 16) ,FALSE
13214211416,,FALSE
1334511042,(13345 110 42 ,FALSE
1576710916,15767 109 16 | ,FALSE
1597219819,715972 198 19 ,TRUE
1643910416,16439 104 16 ,TRUE
165340416,,FALSE
1907511342,19057 113 42 ,TRUE
2282210316,22822- 103-16) ,FALSE
2353719016,m 23537 190 16 ,FALSE
2458010616,24580 106 16 ,TRUE
2626010116,“26260 101 16 ,FALSE
2920510416,(-29205-104 16| ,FALSE
3025410416,30254 104 16 | ,FALSE
3100011216,Pa 31000 112.16 ,FALSE
3218710916,32187 109 16)! ,FALSE
3661011216,36610 112 16 ,TRUE
3665311216,—_——_ 36653 1127161 ,FALSE
4051510716,#40515 107 16 ,FALSE
4776911016,£7169 110 16 ,FALSE
6742210816,67422 108 16 ,TRUE
